  4.8551493928459357E-07   1.1731859825697470E-08   1.9486069101316380E-05   8.0344401563206666E-05   3.6241249588445798E-05   5.6645417903203630E-06   5.6842024742032358E-07   1.7447098236926636E-07
  1.0796815649968272E-06   5.2295516670393754E-08   1.8955707078566893E-07   2.6289504350380766E-05   7.7712716946795013E-06   7.8277385909418160E-06   3.8772621821038077E-06   1.2283140677955141E-06
  7.9737642411999295E-08   6.5605048639507852E-07   3.2009558515187752E-09   4.9381332994139285E-07   1.8491415683430034E-09   1.3078952607516655E-05   7.4745193407997529E-06   1.8616928569918934E-05
  8.7655947565639416E-07   2.1366802524951612E-05   1.0091289955384416E-10   8.1376512149350879E-08   5.0427503761209502E-05   3.8110139675534023E-05   2.7624261756002031E-05   8.7733336736829008E-06
  2.2779963262662757E-07   2.3142428650489840E-03   1.5840367331319828E-10   2.9672786764499192E-05   2.3035236526525307E-05   2.4940988326677017E-05   9.3752886987523789E-04   3.9816475010059409E-02
  5.1984660405272517E-06   1.4008268870645072E-05   2.9849290184004373E-08   6.4151600531936741E-04   5.1462941191995729E-05   6.4067576585956495E-04   2.2939900473340359E-04   5.7021873556328427E-04
  1.1239695262798425E-03   2.6639872878227371E-06   1.9384047998760734E-07   1.0584759907095951E-02   6.3989495845376851E-04   1.0435337143848775E-04   2.6309117299923480E-06   6.6726968791658159E-06
  1.0907962299807138E-06   3.4539373676781837E-09   2.0400252498311463E-04   4.4064200931249622E-05   1.3588115545201419E-05   9.6851085719905903E-06   6.8115776626301955E-07   1.2408087327689614E-08
  4.6238148916366177E-06   7.5864993885470455E-09   9.8802968070547159E-01   7.0039883959311224E-05   1.1710678835727606E-05   1.4869885717284432E-04   3.3449172809751726E-07   1.5559299259333730E-07
  1.2107816968177529E-05   9.9744655581839459E-01   5.3895409502614504E-10   1.0555538643212306E-03   1.1479115030273142E-03   1.2265206748992747E-03   9.9079790696179615E-01   9.3003805001580653E-01
  7.4519577646084276E-08   1.6451909342240630E-04   1.1982136902925193E-11   1.1301052877659240E-06   4.7233267363415288E-05   1.1034544967922140E-06   4.5938454634298718E-03   2.1859498855318718E-03
  2.3091300509985872E-07   2.8289837673072034E-05   1.8847098444846535E-10   5.1966199292045510E-06   4.5478638523981905E-05   2.5360655350050443E-05   3.2613640194622396E-03   2.7283249968374616E-02
  8.3067955104999547E-07   3.5471109085400793E-06   1.6084449399180815E-08   7.3783996487060129E-06   1.0566537044190530E-07   3.4511668720508438E-06   7.8433138572707724E-06   3.9429835950501575E-05
  9.9878715760077419E-01   3.8978857144474859E-06   5.3284886003310946E-07   9.8353360094314302E-01   9.9710586311798655E-01   9.9544059405512930E-01   6.8130554195796093E-05   1.8452471389216417E-05
  4.8153717715540162E-05   1.1467304816367891E-07   1.5612039595079086E-08   3.5128887462116862E-03   6.7941231091953589E-04   1.1523093421137213E-03   5.8229479150054392E-05   8.8855836078264946E-06
  6.6365411462984789E-08   5.1178063909475191E-08   1.7873937867183874E-06   1.9876981266329769E-05   9.2344675166312285E-05   4.0539825488175536E-05   3.9344546518825614E-08   9.8968572353782083E-07
  1.3624003242506887E-05   9.5642201797885196E-09   9.0865983826299655E-03   3.6691926786057048E-04   2.2010213745523791E-05   8.9342324266092213E-04   2.2019215372905659E-06   2.3740758665989054E-06
  1.0243139805419015E-08   1.7815487378909247E-09   1.3272172471287785E-03   2.0001459859967197E-06   4.2372451318899835E-07   4.8461336551093103E-06   1.6978803388052914E-08   8.2250341228169664E-08
  1.1224392147260676E-07   1.4977037754487669E-11   1.3302456850276918E-03   1.8193046520208194E-05   2.5083078645470673E-05   2.1881598529950339E-04   3.0306385854746596E-07   2.0873652358236929E-07
